backend,group,scenario,controller,seed,person_delay_s,max_norm_wait,ped_mean_wait_s,veh_mean_wait_s,starvation_violations,ped_service_ratio,veh_service_ratio,jain
surrogate,nominal,C_LM,equal_bargaining,1022,10.118553541721392,0.44,8.53781512605042,10.302414231257941,0,1.0,0.9961880559085133,0.9999963533964061
surrogate,nominal,C_LM,equal_bargaining,1012,10.142626982108032,0.59,8.757575757575758,10.269554753309267,0,1.0,1.0,1.0
surrogate,nominal,C_LM,equal_bargaining,1017,9.691272253582286,0.36,9.315217391304348,9.723926380368098,0,1.0,0.9950920245398773,0.9999939483155893
surrogate,nominal,C_LM,equal_bargaining,1026,10.427126556016598,0.5,8.486238532110091,10.629032258064516,0,1.0,0.9962779156327544,0.9999965236066422
surrogate,nominal,C_LM,equal_bargaining,1024,9.972806039289695,0.5,8.257425742574258,10.135531135531135,0,1.0,0.9951159951159951,0.9999940074277933
surrogate,nominal,C_LM,equal_bargaining,1001,9.844163359788359,0.5,8.191304347826087,10.017814726840855,0,0.9826086956521739,0.996437054631829,0.9999511788034893
surrogate,nominal,C_LM,equal_bargaining,1027,10.527616413093591,0.85,12.097087378640778,10.362913907284769,0,1.0,0.9986754966887417,0.9999995608414629
surrogate,nominal,C_LM,equal_bargaining,1011,9.638258081752605,0.48,9.4,9.662835249042146,0,1.0,0.9961685823754789,0.9999963159717361
surrogate,nominal,C_LM,equal_bargaining,1013,9.935091640590075,0.43,8.596774193548388,10.101960784313725,0,1.0,0.9973856209150327,0.9999982867823545
surrogate,nominal,C_LM,equal_bargaining,1030,9.960964310226494,0.54,10.0,9.95742092457421,0,1.0,0.9975669099756691,0.9999985164129236
surrogate,nominal,C_LM,equal_bargaining,1016,10.061717957389247,0.66,10.908256880733944,9.975786924939467,0,1.0,0.9987893462469734,0.9999996331354953
surrogate,nominal,C_LM,equal_bargaining,1005,9.905946229967595,0.59,8.693548387096774,10.053639846743295,0,1.0,0.9948914431673053,0.9999934422466863
surrogate,nominal,C_LM,equal_bargaining,1020,9.749124156199267,0.6,9.825242718446601,9.741778319123021,0,1.0,0.9963459196102314,0.9999966497042432
surrogate,nominal,C_LM,equal_bargaining,1025,10.052819414703782,0.51,8.144,10.29242819843342,0,1.0,0.9986945169712794,0.9999995733719232
surrogate,nominal,C_LM,equal_bargaining,1014,9.535458515283842,0.42,7.398305084745763,9.781012658227848,0,1.0,0.9987341772151899,0.9999995989157892
surrogate,nominal,C_LM,equal_bargaining,1018,10.137444933920705,0.45,8.194444444444445,10.341772151898734,0,1.0,1.0,1.0
surrogate,nominal,C_LM,equal_bargaining,1003,9.440456769983687,0.5,7.923913043478261,9.57840616966581,0,1.0,1.0,1.0
surrogate,nominal,C_LM,equal_bargaining,1021,9.714185146075325,0.45,7.717171717171717,9.904761904761905,0,1.0,0.9962406015037594,0.9999964534228017
surrogate,nominal,C_LM,equal_bargaining,1008,10.02491738858623,0.68,10.946808510638299,9.9404309252218,0,1.0,0.9961977186311787,0.9999963718952491
surrogate,nominal,C_LM,equal_bargaining,1002,9.301359256710253,0.5,8.517857142857142,9.384900990099009,0,1.0,0.9962871287128713,0.9999965408270806
surrogate,nominal,C_LM,equal_bargaining,1010,9.886269188364006,0.57,9.423076923076923,9.931076178960097,0,1.0,0.9939540507859734,0.9999908062073546
surrogate,nominal,C_LM,equal_bargaining,1023,9.755126452494872,0.5,8.560747663551401,9.875305623471883,0,1.0,1.0,1.0
surrogate,nominal,C_LM,equal_bargaining,1009,9.453596687942039,0.47,7.467889908256881,9.659653465346535,0,1.0,0.9987623762376238,0.9999996165976416
surrogate,nominal,C_LM,equal_bargaining,1028,10.855596888738587,0.52,8.540740740740741,11.153846153846153,0,1.0,0.9925558312655087,0.9999860425732532
surrogate,nominal,C_LM,equal_bargaining,1007,9.275178866263072,0.59,7.845528455284553,9.456989247311828,0,1.0,1.0,1.0
surrogate,nominal,C_LM,fixed_time,1006,12.115171260015849,0.29,9.40650406504065,12.444159178433889,0,1.0,0.9961489088575096,0.999996277967969
surrogate,nominal,C_LM,fixed_time,1019,12.459795067731852,0.3,10.477064220183486,12.66708229426434,0,0.9908256880733946,0.9962593516209476,0.9999925226220651
surrogate,nominal,C_LM,fixed_time,1004,12.444143356643355,0.29,9.483516483516484,12.7,0,1.0,0.9987654320987654,0.9999996184898147
surrogate,nominal,C_LM,fixed_time,1029,12.659769909925979,0.29,9.952830188679245,12.942381562099872,0,1.0,0.998719590268886,0.9999995896126027
surrogate,nominal,C_LM,fixed_time,1015,12.363854389721629,0.29,11.326315789473684,12.455757575757575,0,1.0,0.9987878787878788,0.9999996322450484
surrogate,nominal,C_LM,fixed_time,1022,12.989405481131252,0.29,10.46218487394958,13.283354510800509,0,1.0,0.9974587039390089,0.9999983813453286
surrogate,nominal,C_LM,fixed_time,1012,12.549648096328331,0.29,9.303030303030303,12.847172081829122,0,1.0,1.0,1.0
surrogate,nominal,C_LM,fixed_time,1017,11.940512375162832,0.29,11.326086956521738,11.993865030674847,0,1.0,0.996319018404908,0.9999966001016948
surrogate,nominal,C_LM,fixed_time,1026,12.856327800829877,0.29,10.091743119266056,13.1439205955335,0,1.0,0.9962779156327544,0.9999965236066422
surrogate,nominal,C_LM,fixed_time,1024,12.0676846529982,0.29,9.653465346534654,12.296703296703297,0,1.0,0.9975579975579976,0.9999985055109284
surrogate,nominal,C_LM,fixed_time,1001,12.911127645502644,0.29,9.295652173913043,13.290973871733966,0,0.991304347826087,0.996437054631829,0.9999933323890574
surrogate,nominal,C_LM,fixed_time,1027,12.255325034578146,0.29,10.359223300970873,12.45430463576159,0,1.0,0.9973509933774835,0.9999982410376469
surrogate,nominal,C_LM,fixed_time,1011,12.224686080683943,0.29,9.314285714285715,12.524904214559387,0,1.0,0.9961685823754789,0.9999963159717361
surrogate,nominal,C_LM,fixed_time,1013,11.912203844434512,0.29,10.725806451612904,12.060130718954248,0,0.9919354838709677,0.9986928104575163,0.9999884770290094
surrogate,nominal,C_LM,fixed_time,1030,12.68582704186685,0.29,10.082474226804123,12.922141119221411,0,1.0,0.9975669099756691,0.9999985164129236
surrogate,nominal,C_LM,fixed_time,1016,12.15869124112276,0.29,9.321100917431192,12.446731234866828,0,1.0,0.9963680387409201,0.999996690215173
surrogate,nominal,C_LM,fixed_time,1005,12.234871705052981,0.29,9.82258064516129,12.528735632183908,0,1.0,0.9974457215836526,0.9999983647438782
surrogate,nominal,C_LM,fixed_time,1020,12.321199692386568,0.29,10.436893203883495,12.503045066991474,0,1.0,0.997563946406821,0.9999985127922176
surrogate,nominal,C_LM,fixed_time,1025,12.625267665952888,0.29,9.432,13.026109660574413,0,1.0,1.0,1.0
surrogate,nominal,C_LM,fixed_time,1014,12.406812227074237,0.29,11.915254237288135,12.463291139240507,0,1.0,0.9974683544303797,0.9999983936310683
surrogate,nominal,C_LM,fixed_time,1018,12.339295154185022,0.29,9.342592592592593,12.654430379746836,0,1.0,0.9987341772151899,0.9999995989157892
surrogate,nominal,C_LM,fixed_time,1003,12.580206634040236,0.29,10.423913043478262,12.776349614395887,0,1.0,0.9961439588688946,0.9999962683751425
surrogate,nominal,C_LM,fixed_time,1021,12.564237944385779,0.29,10.676767676767676,12.74436090225564,0,1.0,0.9962406015037594,0.9999964534228017
surrogate,nominal,C_LM,fixed_time,1008,12.335089756184692,0.29,9.712765957446809,12.575411913814955,0,1.0,0.9974651457541192,0.9999983895514094
surrogate,nominal,C_LM,fixed_time,1002,11.636699931176874,0.29,9.982142857142858,11.813118811881187,0,1.0,0.9962871287128713,0.9999965408270806
surrogate,nominal,C_LM,fixed_time,1010,11.881180561445168,0.29,10.490384615384615,12.015719467956469,0,1.0,0.9963724304715841,0.9999966982291503
surrogate,nominal,C_LM,fixed_time,1023,12.33902939166097,0.29,10.411214953271028,12.533007334963326,0,1.0,0.9975550122249389,0.9999985018502151
surrogate,nominal,C_LM,fixed_time,1009,12.857771260997067,0.29,12.0,12.946782178217822,0,1.0,0.9962871287128713,0.9999965408270806
surrogate,nominal,C_LM,fixed_time,1028,12.477764626310453,0.29,12.459259259259259,12.48014888337469,0,1.0,0.9950372208436724,0.9999938120726463
surrogate,nominal,C_LM,fixed_time,1007,12.082645386167675,0.29,10.333333333333334,12.30510752688172,0,1.0,0.9946236559139785,0.9999927347757226
surrogate,nominal,C_LM,efpb,1006,10.463854891256492,0.51,15.170731707317072,9.89216944801027,0,0.991869918699187,0.9961489088575096,0.9999953672424011
surrogate,nominal,C_LM,efpb,1019,9.609065647794372,0.56,14.623853211009175,9.084788029925187,0,1.0,0.9975062344139651,0.9999984414013673
surrogate,nominal,C_LM,efpb,1004,9.99965034965035,0.56,16.53846153846154,9.434567901234567,0,1.0,1.0,1.0
surrogate,nominal,C_LM,efpb,1029,9.549540711673949,0.57,14.028301886792454,9.081946222791293,0,1.0,0.9974391805377721,0.9999983563472118
surrogate,nominal,C_LM,efpb,1015,9.787066381156317,0.57,15.894736842105264,9.246060606060606,0,1.0,0.9987878787878788,0.9999996322450484
